service,API,endpoint,parsing
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:item_ecommerce:discounted_price
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:item_ecommerce:currency
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:item_ecommerce:currency_symbol
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:data:sub_items:0:item_ecommerce:currency_extended_name
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:extra_data:id
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:extra_data:name
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:extra_data:description
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:extra_data:code
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:extra_data:entries_sort_attr
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:extra_data:entries_sort_dir
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},data:items:0:extra_data:slug
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},version
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},_links:self:href
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},_links:goto:href
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},_links:first:href
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/public/{catalog_id},_links:last:href
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:item_id
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:item_type
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:item_type_int
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:item_code
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:item_name
